Asset,Timeframe,Strategy_ID,Strategy_Name,Strategies,Trades,Win_Rate,ROI,SL,TP
ETHUSDT,4h,167,ADX_Volume_Break,"ADX_Trend, Volume_Spike, Breakout_20, EMA_Cross",83,25.3,50.13,0.02,0.12
ETHUSDT,1h,59,Breakout_Cluster,"Breakout_20, Volume_Spike, EMA_Cross, MACD_Cross",93,23.66,49.38,0.018,0.1
ETHUSDT,1h,78,Volume_Profile,"Volume_Spike, VWAP, Breakout_20",191,22.51,49.02,0.015,0.09
ETHUSDT,1h,41,VWAP_Break_Through,"VWAP, Breakout_20, Volume_Spike",191,22.51,49.02,0.015,0.09
ETHUSDT,1h,214,Breakout_EMA_ADX_VWAP,"Breakout_20, EMA_Cross, ADX_Trend, VWAP, Volume_Spike",90,22.22,48.47,0.02,0.12
ETHUSDT,4h,164,Breakout_Confirmation,"Breakout_20, Volume_Spike, EMA_Cross, Supertrend",82,25.61,47.5,0.02,0.12
BNBUSDT,4h,164,Breakout_Confirmation,"Breakout_20, Volume_Spike, EMA_Cross, Supertrend",53,24.53,47.2,0.02,0.12
ETHUSDT,1h,194,Breakout_Volume_ADX,"Breakout_20, Volume_Spike, ADX_Trend, Supertrend, VWAP",120,21.67,46.96,0.02,0.12
ETHUSDT,1h,187,ADX_EMA_BB,"ADX_Trend, EMA_Cross, BB_Lower, Stochastic",214,21.5,46.78,0.012,0.08
ETHUSDT,15m,202,RSI_BB_MACD_Stochastic,"RSI_Oversold, BB_Lower, MACD_Cross, Stochastic",115,15.65,45.59,0.01,0.07
BNBUSDT,4h,6,Breakout_Hunter,"Breakout_20, Volume_Spike, MACD_Cross, Supertrend",52,26.92,45.36,0.018,0.1
ETHUSDT,1h,146,VWAP_Breakout,"VWAP, Breakout_20, MACD_Cross, ADX_Trend",142,23.24,44.45,0.018,0.1
ETHUSDT,1h,165,Supertrend_Multi_Entry,"Supertrend, EMA_Cross, VWAP, ADX_Trend, Volume_Spike",170,22.94,44.11,0.018,0.1
BNBUSDT,1h,202,RSI_BB_MACD_Stochastic,"RSI_Oversold, BB_Lower, MACD_Cross, Stochastic",100,23,43.99,0.01,0.07
ETHUSDT,15m,59,Breakout_Cluster,"Breakout_20, Volume_Spike, EMA_Cross, MACD_Cross",61,21.31,43.35,0.018,0.1
ETHUSDT,1h,81,Breakout_Thermo,"Breakout_20, Volume_Spike, ADX_Trend, Trend_MA50",155,22.58,43.28,0.018,0.1
ETHUSDT,4h,169,Volume_EMA_ADX,"Volume_Spike, EMA_Cross, ADX_Trend, Trend_MA50",115,24.35,43.25,0.015,0.09
ETHUSDT,15m,176,VWAP_Momentum_Pro,"VWAP, EMA_Cross, MACD_Cross, Volume_Spike",88,18.18,41.7,0.015,0.09
ETHUSDT,1h,190,Trend_All_Confirm,"Trend_MA50, EMA_Cross, ADX_Trend, Supertrend, MACD_Cross",139,23.02,41.3,0.018,0.1
ETHUSDT,1h,220,Ultimate_Entry,"EMA_Cross, MACD_Cross, RSI_Oversold, Supertrend, ADX_Trend, VWAP, Trend_MA50, Volume_Spike",64,21.88,41.25,0.025,0.15
ETHUSDT,1h,217,ADX_EMA_VWAP_MACD,"ADX_Trend, EMA_Cross, VWAP, MACD_Cross, Supertrend",156,23.08,40.7,0.018,0.1
BNBUSDT,4h,17,MACD_Divergence,"MACD_Cross, EMA_Cross, BB_Lower",143,23.78,40.66,0.008,0.06
ETHUSDT,15m,154,Breakout_VWAP,"Breakout_20, VWAP, Volume_Spike, MACD_Cross",66,19.7,40,0.018,0.1
ETHUSDT,15m,203,MACD_VWAP_Breakout,"MACD_Cross, VWAP, Breakout_20, Volume_Spike",66,19.7,40,0.018,0.1
BNBUSDT,1h,162,RSI_Stochastic_Pro,"RSI_Oversold, Stochastic, BB_Lower, MACD_Cross",110,22.73,39.54,0.008,0.06
ETHUSDT,15m,174,Breakout_Multi_Signal,"Breakout_20, Volume_Spike, EMA_Cross, MACD_Cross, Supertrend",60,18.33,39.18,0.02,0.12
BNBUSDT,1h,207,ADX_Stochastic_VWAP,"ADX_Trend, Stochastic, VWAP, BB_Lower, Volume_Spike",92,22.83,39.09,0.015,0.09
ETHUSDT,4h,52,MACD_Histogram_Trade,"MACD_Cross, RSI_Oversold, VWAP",179,24.02,38.85,0.01,0.07
ETHUSDT,1h,162,RSI_Stochastic_Pro,"RSI_Oversold, Stochastic, BB_Lower, MACD_Cross",148,21.62,38.55,0.008,0.06
ETHUSDT,1h,178,BB_EMA_VWAP,"BB_Lower, EMA_Cross, VWAP, Trend_MA50",191,21.47,38.13,0.012,0.08
ETHUSDT,4h,176,VWAP_Momentum_Pro,"VWAP, EMA_Cross, MACD_Cross, Volume_Spike",99,25.25,37.68,0.015,0.09
ETHUSDT,4h,219,Volume_Stochastic_MACD_ADX,"Volume_Spike, Stochastic, MACD_Cross, ADX_Trend, Trend_MA50, Supertrend",45,26.67,37.03,0.02,0.12
ETHUSDT,15m,209,Volume_EMA_Stochastic_ADX,"Volume_Spike, EMA_Cross, Stochastic, ADX_Trend, Trend_MA50",63,19.05,36.06,0.018,0.1
BTCUSDT,4h,205,Supertrend_BB_Entry,"Supertrend, BB_Lower, EMA_Cross, MACD_Cross, RSI_Oversold",21,33.33,36.04,0.012,0.08
ETHUSDT,4h,78,Volume_Profile,"Volume_Spike, VWAP, Breakout_20",128,25,35.77,0.015,0.09
ETHUSDT,4h,41,VWAP_Break_Through,"VWAP, Breakout_20, Volume_Spike",128,25,35.77,0.015,0.09
XRPUSDT,1h,221,Conservative_Entry,"EMA_Cross, Trend_MA50, ADX_Trend",58,29.31,35.42,0.008,0.05
ETHUSDT,4h,68,Bollinger_Break_Upper,"BB_Upper, Volume_Spike, Breakout_20",84,25,35.19,0.015,0.09
BNBUSDT,1h,223,Aggressive_Entry,"Breakout_20, Volume_Spike, MACD_Cross, ADX_Trend",82,23.17,34.58,0.018,0.1
BNBUSDT,1h,113,Breakout_Volume_Pro,"Breakout_20, Volume_Spike, EMA_Cross",83,24.1,34.46,0.018,0.1
BNBUSDT,1h,121,EMA_Breakout_Pro,"EMA_Cross, Breakout_20, Volume_Spike",83,24.1,34.46,0.018,0.1
ETHUSDT,4h,214,Breakout_EMA_ADX_VWAP,"Breakout_20, EMA_Cross, ADX_Trend, VWAP, Volume_Spike",55,23.64,33.88,0.02,0.12
ETHUSDT,1h,207,ADX_Stochastic_VWAP,"ADX_Trend, Stochastic, VWAP, BB_Lower, Volume_Spike",141,22.7,33.43,0.015,0.09
ETHUSDT,15m,216,VWAP_BB_Stochastic_EMA,"VWAP, BB_Lower, Stochastic, EMA_Cross, ADX_Trend",88,18.18,32.94,0.015,0.09
ETHUSDT,4h,203,MACD_VWAP_Breakout,"MACD_Cross, VWAP, Breakout_20, Volume_Spike",54,25.93,32.62,0.018,0.1
ETHUSDT,4h,154,Breakout_VWAP,"Breakout_20, VWAP, Volume_Spike, MACD_Cross",54,25.93,32.62,0.018,0.1
ETHUSDT,1h,195,Supertrend_Volume_ADX,"Supertrend, Volume_Spike, ADX_Trend, EMA_Cross, MACD_Cross",163,22.09,32.49,0.018,0.1
ETHUSDT,1h,189,Volume_MACD_ADX,"Volume_Spike, MACD_Cross, ADX_Trend, Trend_MA50, Supertrend",163,22.09,32.1,0.018,0.1
ETHUSDT,1h,183,MACD_VWAP_Supertrend,"MACD_Cross, VWAP, Supertrend, Volume_Spike",199,21.61,32.08,0.015,0.09
ETHUSDT,4h,93,MACD_Cross_Pro,"MACD_Cross, EMA_Cross, Volume_Spike",166,24.1,31,0.01,0.07
ETHUSDT,4h,90,Max_Agreement,"EMA_Cross, MACD_Cross, RSI_Oversold, Supertrend, ADX_Trend, VWAP",67,22.39,30.89,0.025,0.15
BNBUSDT,1h,20,Trend_Acceleration,"EMA_Cross, ADX_Trend, Volume_Spike, Trend_MA50",81,23.46,30.84,0.018,0.1
BNBUSDT,4h,87,Breakout_Retest_Pro,"Breakout_20, RSI_Oversold, MACD_Cross",68,26.47,30.49,0.01,0.07
ETHUSDT,4h,200,Volume_All_Confirm,"Volume_Spike, EMA_Cross, MACD_Cross, ADX_Trend, Supertrend, VWAP",61,22.95,30.01,0.02,0.12
ETHUSDT,4h,15,Aggressive_Growth,"EMA_Cross, MACD_Cross, Volume_Spike, Breakout_20, ADX_Trend, VWAP",61,22.95,29.83,0.02,0.12
ETHUSDT,1h,168,BB_Stochastic_ADX,"BB_Lower, Stochastic, ADX_Trend, VWAP",276,21.01,29.66,0.01,0.07
ETHUSDT,1h,86,EMA_Convergence_Pro,"EMA_Cross, Trend_MA50, VWAP, MACD_Cross",178,21.35,29.57,0.012,0.08
BNBUSDT,1h,225,High_Profit_Trade,"EMA_Cross, MACD_Cross, ADX_Trend, Supertrend, VWAP, Trend_MA50",36,22.22,29.33,0.025,0.15
ETHUSDT,4h,118,Trend_Volume,"Trend_MA50, Volume_Spike, EMA_Cross",120,24.17,29.01,0.015,0.09
ETHUSDT,4h,149,Volume_Trend_Pro,"Volume_Spike, Trend_MA50, EMA_Cross",120,24.17,29.01,0.015,0.09
BTCUSDT,4h,207,ADX_Stochastic_VWAP,"ADX_Trend, Stochastic, VWAP, BB_Lower, Volume_Spike",43,25.58,28.85,0.015,0.09
ETHUSDT,1h,46,EMA_Rainbow_Stack,"EMA_Cross, Trend_MA50, ADX_Trend, VWAP",196,20.92,28.82,0.012,0.08
ETHUSDT,15m,214,Breakout_EMA_ADX_VWAP,"Breakout_20, EMA_Cross, ADX_Trend, VWAP, Volume_Spike",61,16.39,28.73,0.02,0.12
BNBUSDT,1h,183,MACD_VWAP_Supertrend,"MACD_Cross, VWAP, Supertrend, Volume_Spike",106,21.7,28.59,0.015,0.09
ETHUSDT,1h,210,Mega_Confirmation,"EMA_Cross, MACD_Cross, RSI_Oversold, Supertrend, ADX_Trend, VWAP, Trend_MA50",64,21.88,28.31,0.025,0.15
ETHUSDT,1h,20,Trend_Acceleration,"EMA_Cross, ADX_Trend, Volume_Spike, Trend_MA50",160,21.88,28.2,0.018,0.1
ETHUSDT,4h,174,Breakout_Multi_Signal,"Breakout_20, Volume_Spike, EMA_Cross, MACD_Cross, Supertrend",45,24.44,28.16,0.02,0.12
ETHUSDT,15m,217,ADX_EMA_VWAP_MACD,"ADX_Trend, EMA_Cross, VWAP, MACD_Cross, Supertrend",72,20.83,28.03,0.018,0.1
BNBUSDT,4h,81,Breakout_Thermo,"Breakout_20, Volume_Spike, ADX_Trend, Trend_MA50",55,25.45,27.8,0.018,0.1
BNBUSDT,4h,167,ADX_Volume_Break,"ADX_Trend, Volume_Spike, Breakout_20, EMA_Cross",52,23.08,27.72,0.02,0.12
BNBUSDT,4h,211,EMA_Breakout_ADX,"EMA_Cross, Breakout_20, ADX_Trend, Supertrend, Volume_Spike",52,23.08,27.72,0.02,0.12
ETHUSDT,4h,6,Breakout_Hunter,"Breakout_20, Volume_Spike, MACD_Cross, Supertrend",82,25.61,27.7,0.018,0.1
ETHUSDT,4h,60,Consolidation_Break,"Breakout_20, Supertrend, ADX_Trend, Volume_Spike",93,23.66,27.6,0.02,0.12
ETHUSDT,4h,160,Volume_Break_Pro,"Volume_Spike, Breakout_20, Supertrend, ADX_Trend",93,23.66,27.6,0.02,0.12
BNBUSDT,1h,81,Breakout_Thermo,"Breakout_20, Volume_Spike, ADX_Trend, Trend_MA50",78,23.08,27.35,0.018,0.1
BNBUSDT,1h,197,ADX_BB_MACD,"ADX_Trend, BB_Lower, MACD_Cross, Stochastic",123,21.95,27.3,0.012,0.08
BNBUSDT,1h,195,Supertrend_Volume_ADX,"Supertrend, Volume_Spike, ADX_Trend, EMA_Cross, MACD_Cross",85,22.35,27.24,0.018,0.1
BNBUSDT,1h,177,ADX_Stochastic_BB,"ADX_Trend, Stochastic, BB_Lower, RSI_Oversold",146,21.23,26.98,0.01,0.07
ETHUSDT,1h,169,Volume_EMA_ADX,"Volume_Spike, EMA_Cross, ADX_Trend, Trend_MA50",187,21.39,26.83,0.015,0.09
ETHUSDT,15m,144,Breakout_Stochastic,"Breakout_20, Stochastic, Volume_Spike",67,20.9,26.73,0.018,0.1
BNBUSDT,4h,209,Volume_EMA_Stochastic_ADX,"Volume_Spike, EMA_Cross, Stochastic, ADX_Trend, Trend_MA50",48,25,26.7,0.018,0.1
ETHUSDT,15m,146,VWAP_Breakout,"VWAP, Breakout_20, MACD_Cross, ADX_Trend",72,20.83,26.6,0.018,0.1
BNBUSDT,4h,194,Breakout_Volume_ADX,"Breakout_20, Volume_Spike, ADX_Trend, Supertrend, VWAP",51,25.49,26.48,0.02,0.12
ETHUSDT,4h,20,Trend_Acceleration,"EMA_Cross, ADX_Trend, Volume_Spike, Trend_MA50",105,23.81,26.46,0.018,0.1
BNBUSDT,4h,173,MACD_Breakout,"MACD_Cross, Breakout_20, Volume_Spike, ADX_Trend",47,23.4,26.21,0.02,0.12
BNBUSDT,1h,78,Volume_Profile,"Volume_Spike, VWAP, Breakout_20",108,21.3,26.16,0.015,0.09
BNBUSDT,1h,41,VWAP_Break_Through,"VWAP, Breakout_20, Volume_Spike",108,21.3,26.16,0.015,0.09
ETHUSDT,15m,188,BB_Stochastic_VWAP,"BB_Lower, Stochastic, VWAP, EMA_Cross",132,15.15,25.98,0.01,0.07
ETHUSDT,15m,181,EMA_BB_Stochastic,"EMA_Cross, BB_Lower, Stochastic, VWAP",132,15.15,25.98,0.01,0.07
ETHUSDT,4h,47,Volume_Weighted_Entry,"Volume_Spike, VWAP, EMA_Cross",185,23.24,25.95,0.01,0.07
BNBUSDT,1h,161,EMA_Break_Momentum,"EMA_Cross, Breakout_20, MACD_Cross, ADX_Trend",80,21.25,25.93,0.018,0.1
BTCUSDT,4h,202,RSI_BB_MACD_Stochastic,"RSI_Oversold, BB_Lower, MACD_Cross, Stochastic",40,27.5,25.73,0.01,0.07
ETHUSDT,1h,159,Stochastic_Trend_ADX,"Stochastic, Trend_MA50, ADX_Trend, EMA_Cross",225,20.44,25.68,0.012,0.08
XRPUSDT,1h,173,MACD_Breakout,"MACD_Cross, Breakout_20, Volume_Spike, ADX_Trend",13,30.77,25.49,0.02,0.12
BNBUSDT,1h,190,Trend_All_Confirm,"Trend_MA50, EMA_Cross, ADX_Trend, Supertrend, MACD_Cross",81,20.99,25.46,0.018,0.1
ETHUSDT,1h,75,High_Momentum_Entry,"EMA_Cross, MACD_Cross, Volume_Spike, ADX_Trend, Breakout_20",70,21.43,25.3,0.02,0.12
ETHUSDT,1h,184,Breakout_ADX_Pro,"Breakout_20, ADX_Trend, Volume_Spike, EMA_Cross, MACD_Cross",70,21.43,25.3,0.02,0.12
ETHUSDT,15m,218,BB_Stochastic_ADX_Trend,"BB_Lower, Stochastic, ADX_Trend, Trend_MA50, EMA_Cross",80,17.5,24.24,0.015,0.09
ETHUSDT,4h,173,MACD_Breakout,"MACD_Cross, Breakout_20, Volume_Spike, ADX_Trend",70,22.86,24.02,0.02,0.12
ETHUSDT,1h,225,High_Profit_Trade,"EMA_Cross, MACD_Cross, ADX_Trend, Supertrend, VWAP, Trend_MA50",64,21.88,23.85,0.025,0.15
BTCUSDT,4h,212,RSI_Stochastic_VWAP_ADX,"RSI_Oversold, Stochastic, VWAP, ADX_Trend, MACD_Cross",28,28.57,23.84,0.015,0.09
BNBUSDT,1h,6,Breakout_Hunter,"Breakout_20, Volume_Spike, MACD_Cross, Supertrend",85,22.35,23.83,0.018,0.1
ETHUSDT,1h,176,VWAP_Momentum_Pro,"VWAP, EMA_Cross, MACD_Cross, Volume_Spike",153,21.57,23.58,0.015,0.09
ETHUSDT,4h,28,Breakout_Pullback,"Breakout_20, RSI_Oversold, BB_Lower",85,27.06,23.26,0.01,0.07
BNBUSDT,1h,144,Breakout_Stochastic,"Breakout_20, Stochastic, Volume_Spike",88,22.73,23.23,0.018,0.1
ETHUSDT,15m,183,MACD_VWAP_Supertrend,"MACD_Cross, VWAP, Supertrend, Volume_Spike",100,19,23.17,0.015,0.09
ETHUSDT,15m,78,Volume_Profile,"Volume_Spike, VWAP, Breakout_20",95,18.95,23.08,0.015,0.09
ETHUSDT,15m,41,VWAP_Break_Through,"VWAP, Breakout_20, Volume_Spike",95,18.95,23.08,0.015,0.09
ETHUSDT,4h,113,Breakout_Volume_Pro,"Breakout_20, Volume_Spike, EMA_Cross",106,23.58,23.03,0.018,0.1
ETHUSDT,4h,121,EMA_Breakout_Pro,"EMA_Cross, Breakout_20, Volume_Spike",106,23.58,23.03,0.018,0.1
ETHUSDT,1h,74,VWAP_Trend_Pro,"VWAP, EMA_Cross, ADX_Trend, Trend_MA50",174,21.26,23.03,0.015,0.09
BNBUSDT,1h,219,Volume_Stochastic_MACD_ADX,"Volume_Spike, Stochastic, MACD_Cross, ADX_Trend, Trend_MA50, Supertrend",52,21.15,22.87,0.02,0.12
ETHUSDT,15m,62,RSI_Extreme_Reversal,"RSI_Oversold, Stochastic, BB_Lower, VWAP",218,12.39,22.74,0.005,0.05
ETHUSDT,15m,96,VWAP_Momentum,"VWAP, EMA_Cross, MACD_Cross",108,17.59,22.59,0.012,0.08
BNBUSDT,1h,189,Volume_MACD_ADX,"Volume_Spike, MACD_Cross, ADX_Trend, Trend_MA50, Supertrend",87,21.84,22.53,0.018,0.1
BNBUSDT,1h,192,RSI_Stochastic_ADX,"RSI_Oversold, Stochastic, ADX_Trend, MACD_Cross",124,20.97,22.48,0.012,0.08
ETHUSDT,15m,124,Breakout_Momentum,"Breakout_20, Volume_Spike, MACD_Cross",67,19.4,22.47,0.02,0.12
ETHUSDT,15m,68,Bollinger_Break_Upper,"BB_Upper, Volume_Spike, Breakout_20",93,18.28,22.46,0.015,0.09
BNBUSDT,1h,9,Stochastic_Reversal,"Stochastic, RSI_Oversold, BB_Lower",267,18.73,22.34,0.005,0.05
BNBUSDT,1h,4,Bollinger_Bounce,"BB_Lower, RSI_Oversold, Stochastic",267,18.73,22.34,0.005,0.05
ETHUSDT,1h,164,Breakout_Confirmation,"Breakout_20, Volume_Spike, EMA_Cross, Supertrend",120,20.83,22.28,0.02,0.12
ETHUSDT,1h,28,Breakout_Pullback,"Breakout_20, RSI_Oversold, BB_Lower",207,21.74,22.27,0.01,0.07
ETHUSDT,15m,38,Breakout_Momentum,"Breakout_20, Volume_Spike, MACD_Cross, Supertrend",67,19.4,22.27,0.02,0.12
ETHUSDT,15m,161,EMA_Break_Momentum,"EMA_Cross, Breakout_20, MACD_Cross, ADX_Trend",66,21.21,22.2,0.018,0.1
BNBUSDT,4h,144,Breakout_Stochastic,"Breakout_20, Stochastic, Volume_Spike",60,26.67,22.19,0.018,0.1
ETHUSDT,1h,35,RSI_Momentum_Burst,"RSI_Oversold, MACD_Cross, Volume_Spike",212,20.28,21.96,0.012,0.08
SOLUSDT,1h,199,Stochastic_Trend_MACD,"Stochastic, Trend_MA50, MACD_Cross, EMA_Cross, ADX_Trend",16,31.25,21.9,0.015,0.09
ETHUSDT,1h,209,Volume_EMA_Stochastic_ADX,"Volume_Spike, EMA_Cross, Stochastic, ADX_Trend, Trend_MA50",116,22.41,21.72,0.018,0.1
ETHUSDT,1h,218,BB_Stochastic_ADX_Trend,"BB_Lower, Stochastic, ADX_Trend, Trend_MA50, EMA_Cross",151,21.85,21.53,0.015,0.09
